Zeit;Kanal A
(ms);(V)

49,40495975;0,80204230
49,45486375;0,80204230
49,50476775;0,80204230
49,55467175;0,80204230
49,60457575;0,82068160
49,65447975;0,80204230
49,70438375;0,80204230
49,75428775;0,80204230
49,80419175;0,80204230
49,85409575;0,80204230
49,90399975;0,80204230
49,95390375;0,80204230
50,00380775;0,80204230
50,05371175;0,80204230
50,10361575;0,80204230
50,15351975;0,80204230
