Zeit (ms),Kanal A (mV)
-20.41333250,-2.98351400
-20.40833250,-2.23794300
-20.40333250,-2.61072800
-20.39833250,-1.11897100
-20.39333250,-2.61072800
-20.38833250,-0.93196360
-20.38333250,-1.11897100
-20.37833250,1.67815000
-20.37333250,-0.55917820
-20.36833250,2.42433500
-20.36333250,2.79712100
-20.35833250,2.05093500
-20.35333250,1.67815000
-20.34833250,2.61072800
-20.34333250,3.72970000
-20.33833250,3.91609200
-20.33333250,4.10248500
-20.32833250,4.47588600
-20.32333250,4.10248500
-20.31833250,5.03506400
-20.31333250,4.66227800
-20.30833250,5.78125000
-20.30333250,5.59485700
-20.29833250,7.46001400
-20.29333250,7.08661400
-20.28833250,7.27362200
-20.28333250,7.46001400
-20.27833250,8.57898500
-20.27333250,7.64640700
-20.26833250,8.57898500
-20.26333250,7.46001400
-20.25833251,8.95177200
-20.25333251,7.64640700
-20.24833251,9.88435100
-20.24333251,9.32455600
-20.23833251,8.39259300
-20.23333251,8.57898500
-20.22833251,7.46001400
-20.22333251,7.08661400
-20.21833251,7.64640700
-20.21333251,7.64640700
-20.20833251,7.08661400
-20.20333251,7.46001400
-20.19833251,7.46001400
-20.19333251,6.52743600
-20.18833251,6.52743600
-20.18333251,5.78125000
-20.17833251,5.78125000
-20.17333251,6.15403500
-20.16833251,7.46001400
-20.16333251,5.78125000
-20.15833251,5.22207200
-20.15333251,6.34104300
-20.14833251,5.03506400
-20.14333251,5.59485700
-20.13833251,5.59485700
-20.13333251,4.28949300
-20.12833251,5.22207200
-20.12333251,4.84867100
-20.11833251,4.28949300
-20.11333251,4.66227800
-20.10833251,5.40846400
-20.10333251,3.72970000
-20.09833251,4.28949300
-20.09333251,4.66227800
-20.08833251,4.47588600
-20.08333251,4.47588600
-20.07833251,4.10248500
-20.07333251,4.47588600
-20.06833251,4.47588600
-20.06333251,4.66227800
-20.05833251,4.84867100
-20.05333251,3.91609200
-20.04833251,4.66227800
-20.04333251,4.84867100
-20.03833251,4.84867100
-20.03333251,3.35691400
-20.02833251,4.28949300
-20.02333251,5.22207200
-20.01833251,4.84867100
-20.01333251,5.03506400
-20.00833251,4.84867100
-20.00333251,4.84867100
-19.99833251,4.10248500
-19.99333251,4.66227800
-19.98833251,4.10248500
-19.98333251,3.91609200
-19.97833251,4.10248500
-19.97333251,4.28949300
-19.96833251,4.10248500
-19.96333251,4.66227800
-19.95833251,4.10248500
-19.95333251,5.22207200
-19.94833251,5.22207200
-19.94333251,3.91609200
-19.93833251,4.66227800
-19.93333251,3.91609200
-19.92833251,5.22207200
-19.92333251,4.28949300
-19.91833251,4.47588600
-19.91333251,4.28949300
-19.90833251,5.59485700
-19.90333251,4.84867100
-19.89833251,4.28949300
-19.89333251,4.66227800
-19.88833251,5.22207200
-19.88333251,5.78125000
-19.87833251,5.22207200
